Sp,Sex,LS,SVL,perch height,branch diam,Names
O,F,SA,126.5,55,3.3,O.SA
O,M,A,137.4,na,na,O.A
O,F,A,151,72,4.7,O.A
O,F,A,132.7,350,5.4,O.A
O,M,A,220,126,9.5,O.A
O,M,A,230,190,11.1,O.A
O,F,A,145.1,102,9,O.A
O,F,A,133.3,400,na,O.A
O,F,SA,119.1,109,4.1,O.SA
O,M,A,200,213,8.2,O.A
O,F,A,145.5,170,7.8,O.A
O,M,A,210,84,9.1,O.A
O,M,SA,125.9,na,na,O.SA
O,F,SA,128.5,195,20,O.SA
O,F,A,149.6,na,na,O.A
O,F,A,150.7,154,7.8,O.A
O,M,A,200,140,6.4,O.A
O,M,A,158,63,42.5,O.A
O,M,A,175,98,35.7,O.A
O,F,SA,116.6,129,5,O.SA
O,F,SA,115.1,350,7.8,O.SA
O,M,A,190,250,6.5,O.A
O,M,A,193,188,14.6,O.A
O,F,A,134,162,13,O.A
O,M,SA,128.5,30,20.2,O.SA
O,F,A,143.5,130,10.3,O.A
O,F,SA,124.9,na,na,O.SA
O,M,A,141.3,na,na,O.A
O,M,A,198,131,17.8,O.A
O,M,A,196,107,5.6,O.A
O,F,A,143,86,8,O.A
O,M,A,203,132,5.4,O.A
O,F,A,137.3,250,3,O.A
