ID,x^4,x^3,x^2,x,c,AIC,BIC
40100,8.85513674266e-06,3.90610695218e-07,8.38544887892e-10,-1.02558461247e-10,6.3156853473e-13,-914.213079174,-905.768681904
40105,-8.2443047619e-06,4.46077684071e-06,1.71393305515e-08,-2.43905764361e-09,2.48209043892e-11,-150.669234,-151.710436654
40108,-0.000327984161722,0.000253352632584,1.90423516777e-06,-2.31690202022e-08,5.1111557441e-11,-587.488765755,-576.773092123
40109,0.000537959691485,0.000151527822374,9.1131093852e-07,-1.08692025299e-08,2.48842957161e-11,-706.050519059,-694.808042848
40110,-0.00076697999163,0.000275221160809,-1.2196091247e-06,1.15559277163e-09,1.78678590235e-12,-745.992279454,-734.608948859
351,-0.00182507533213,0.000613348284216,-1.21314970955e-08,-2.55240676029e-11,2.09384427701e-15,-71.3974327119,-66.1748205233
814,0.000257504641228,-4.26077364434e-05,3.93069994865e-06,-1.29167211866e-07,1.37048657949e-09,-157.151697642,-156.165574756
445,NA,NA,NA,NA,NA,NA,NA
450,-4.78251743911e-07,9.87513744173e-06,-9.65110222974e-07,4.01831982356e-08,-4.78101898624e-10,-153.010120089,-154.051322743
40114,-5.91551904762e-05,3.68476126984e-05,-5.44500111111e-06,2.77755301587e-07,-3.64361269841e-09,-414.71887559,-416.671686028
40121,0.00304169156032,-0.00422621462499,0.00306443261065,-0.000433874011169,1.65460527622e-05,-83.7254808878,-84.7666835417
40122,1.52579347357e-05,6.96834235185e-07,1.59437921543e-08,1.81157456318e-12,-6.10393061019e-12,-649.794688907,-642.788701999
40123,-0.00232036245607,0.00120301586489,-3.40300748036e-05,3.23104831689e-07,-9.07737232059e-10,-91.2465960734,-92.2877987273
40124,0.00141400028258,0.000150337106627,-1.04938404955e-06,1.42375303985e-09,4.32100385965e-12,-77.6025787797,-78.6437814336
40128,0.176974199868,-0.000199657871074,1.86148425315e-06,-2.07720540327e-09,6.6514104266e-13,-36.1131851632,-36.383634418
40129,0.381057161557,-0.000590813327721,1.40949136306e-06,-5.49886974085e-10,6.49863915908e-14,-34.5314890783,-34.1342813699
