ID,x^2,x,c,AIC,BIC
40059,2.66372099856e-05,0.000100787674761,-3.1857671749e-06,-162.443984005,-161.852310273
40060,-8.02122e-05,8.62021321429e-05,-2.08669196429e-06,-91.745608312,-92.9172945747
40064,-0.000609026655245,0.000131333754652,-1.05007584548e-06,-238.578401307,-236.078761275
40065,-0.000111725497243,3.23578503268e-05,-1.31186955214e-07,-309.386312039,-306.252744726
40066,0.00100434002625,3.85651408563e-05,1.84360498343e-07,-173.789448706,-171.471682539
40067,-4.91963202165e-05,4.41242640779e-05,2.51067425572e-08,-268.556408091,-264.899780617
40098,2.43032745327e-05,1.50744329569e-07,2.79521475081e-10,-548.047330245,-544.513168754
40099,-3.01852129401e-05,1.56336195033e-05,-5.70677634652e-07,-835.798473831,-830.731835468
40100,1.13854760936e-05,2.8932385334e-07,-2.15082876049e-09,-917.658811197,-912.592172835
40105,-7.69548333333e-06,4.66982278914e-06,-4.07668079544e-08,-151.178443668,-151.80316526
40108,0.000333313574337,0.000261566517663,-4.45138367971e-07,-588.073739351,-581.644335172
40109,0.00120326659562,0.000124356139343,7.01252213445e-09,-706.454340693,-699.708854966
40110,0.000122854669002,0.000196905572698,-4.5212594169e-07,-747.700707261,-740.870708904
351,0.0978104743138,0.000244016426491,2.34351343245e-08,-64.1178027157,-60.9842354025
814,0.000178020975295,-7.94714641743e-06,2.23346023473e-07,-158.46105195,-157.869378218
445,-9.66727272727e-06,1.01115781818e-06,-3.34545454545e-11,-98.644347687,-100.485464604
450,9.58301031117e-06,3.35044306151e-06,-5.77920884062e-08,-143.7948757,-144.419597293
40114,-5.13651053659e-05,9.69006217886e-06,-1.25176520325e-07,-97.0339594553,-98.205645718
40121,0.00114394274375,0.00152762869704,4.43202514499e-06,-67.5011944658,-68.1259160581
40122,-1.57060317044e-06,2.65757873944e-06,-3.37046129391e-08,-653.171748326,-648.968156181
40123,0.00549508309483,0.000100310609521,-4.07814103392e-07,-68.7685215189,-69.3932431113
40124,0.00202466707011,9.48057240193e-05,-3.31193878713e-07,-80.3075141092,-80.9322357015
40128,0.138236265498,0.000407604920443,-1.28126792872e-07,-38.1393620134,-38.3016315662
40129,0.0150010705401,0.000874889392611,-9.45110757052e-08,-32.2042201858,-31.9658955608
