ID,x^3,x^2,x,c,AIC,BIC
40010,-106.425796804,0.116166224448,-5.51449238472e-06,1.83583301151e-10,36.6310076251,35.798045502
40035,-4.81864772056,0.951746007123,-0.00303058981373,2.61815011377e-06,169.816558824,174.692062123
40036,-27.7320318823,2.47266617814,-0.00418432781056,2.82815636349e-06,268.85368275,273.565898072
40037,2.01398047266,0.018296866487,0.000507807421341,-7.30848082778e-07,112.168459942,116.346549693
40057,-7.56066244756e-05,0.000119358093395,-2.03637107976e-06,-5.67688497647e-08,-115.967480958,-116.800443081
40058,0.000821446,-0.000319963458333,5.1366375e-05,-2.09823697917e-06,-333.782777515,-336.23760007
40059,-0.000127024985899,0.000190094404249,-1.42108314561e-05,3.55322483027e-07,-165.778941388,-164.990043079
40060,0.0003073176,-4.98946428571e-05,1.08886361607e-05,-3.6042578125e-07,-92.954576117,-94.5168244673
40064,-0.000338666908627,8.81108290248e-05,2.26695050106e-07,-9.63411688112e-09,-237.012439108,-233.679585732
40065,-0.000201398548281,4.39406302183e-05,-4.46848694578e-07,2.25439448874e-09,-307.439883313,-303.261793562
40066,-0.0024399248551,0.000191711934092,-1.22896872951e-06,3.39368437127e-09,-173.676123006,-170.585768117
40067,0.00129884673061,-1.88013565417e-05,6.0673323621e-07,-1.39512563014e-09,-266.895509602,-262.020006303
40098,1.17614769033e-05,5.26463254681e-06,-4.44294336469e-07,6.46848149325e-09,-548.590780275,-543.878564954
40099,-3.9879413135e-06,3.72627396088e-06,7.53584452865e-07,-4.02211116762e-08,-835.199787832,-828.444270015
40100,5.88777310305e-06,7.32590003437e-07,-1.08713254775e-08,4.73801451536e-11,-916.170570788,-909.415052972
40105,-1.03078006231e-05,5.37189490563e-06,-7.2539808005e-08,3.36101756178e-10,-152.020685915,-152.853648038
40108,-0.00159897507343,0.000434782780833,-2.28161840146e-06,4.25402595853e-09,-588.793826774,-580.221287868
40109,-6.0665086519e-05,0.000243368818862,-1.19840205793e-06,2.72191518458e-09,-707.655636854,-698.661655886
40110,-0.00081308646579,0.000281829996198,-1.36963043211e-06,2.12671570964e-09,-747.989241795,-738.882577319
351,-0.0226934728748,0.00076041903475,-1.58642739786e-07,1.13694329174e-11,-72.8875578505,-68.7094680996
814,-1.48531147929e-06,2.96920851925e-05,-1.521261519e-06,2.14946742348e-08,-158.344387845,-157.555489536
445,7.3844e-05,-2.05357333333e-06,3.41664e-08,-1.16650666667e-10,-355.602882905,-358.05770546
450,6.62371841494e-07,8.78133498922e-06,-7.13916532893e-07,2.06665265431e-08,-154.541361553,-155.374323676
40114,0.000167045969515,-4.10367243635e-05,2.74227376904e-06,-3.88261102589e-08,-107.007819141,-108.570067492
40121,-0.00233160041522,0.00526390062874,-0.000671923383291,2.86185428148e-05,-70.793182757,-71.6261448801
40122,1.81878214286e-05,1.35272619048e-07,5.01258035714e-08,-7.91699404762e-10,-651.794688907,-646.18989938
40123,0.00270800049561,0.000361783195702,-4.18592426607e-06,1.27413948344e-08,-71.5205071665,-72.3534692896
40124,0.00139006430755,0.000154341535973,-1.19144794768e-06,2.90114270855e-09,-79.6020699135,-80.4350320366
40128,0.127485688613,0.000511795971785,-2.95112484192e-07,6.74539866183e-11,-36.2735621188,-36.4899215226
40129,0.0552477563894,0.0007662681401,-2.99904808752e-08,-1.01572103182e-11,-30.3716532775,-30.0538871108
