ID,x^3,x^2,x,c,AIC,BIC
40033,0.147822549054,0.000582536151272,-8.88736867616e-07,8.31763955723e-11,-236.585826087,-229.635147614
40034,-2.08657565363e-06,3.06943952197e-06,-1.42745787459e-06,2.27610642954e-07,-371.727014,-370.135432909
40044,-0.00770215335938,0.00187145748903,-7.38695577015e-06,1.02600579626e-08,-54.5833027538,-56.1455511041
40050,0.487264819751,0.00709072327046,-2.17955460157e-05,2.24178631143e-08,-293.014979835,-281.191671604
40051,0.444540393489,0.00159533989633,-2.48354849584e-06,9.83802677788e-10,-220.866598215,-210.250756814
40052,-6.71609844291e-06,1.02984958611e-05,9.70314178613e-08,-7.08728598976e-09,-1491.95978365,-1482.96580268
40053,5.34087785467e-06,7.14842579502e-06,3.14080416873e-07,-1.11156015715e-08,-1512.38521279,-1503.39123182
40054,-7.93380207612e-06,9.46404857404e-06,-1.36732862704e-07,-8.07837430315e-10,-1451.47818483,-1442.48420386
40055,-3.85448858131e-06,9.70273204914e-06,-4.43462633105e-07,7.59045829729e-09,-1518.1860882,-1509.19210724
40056,2.16954130467e-05,-8.63975997644e-05,0.000162558327198,-5.83339125313e-05,-118.390248835,-119.952497185
40063,2.00355966638e-06,1.82796260524e-11,1.41581024151e-15,-2.44768887901e-20,-497.225211089,-493.892357713
40101,1.12754866391e-05,1.37051869834e-06,-4.75866766833e-08,6.8704700103e-10,-1644.78751766,-1635.68085318
40103,5.95692548072e-06,-1.99637686395e-07,4.41791961271e-09,-1.65387685208e-11,-188.895255658,-188.577489491
40104,3.00312461622e-06,1.00776270324e-07,-1.91516351678e-10,-4.22550513601e-13,-204.541961395,-204.224195228
40106,1.15760635614e-05,-2.96787247361e-06,4.64611593371e-07,-1.51764514846e-08,-128.278301173,-129.840549523
40107,-2.70895536745e-07,2.69061145312e-07,-9.62985763755e-10,1.86007438758e-11,-173.18919245,-174.7514408
708,-1.59236428571e-05,2.17269691326e-05,-5.48108523622e-07,4.07524915636e-09,-116.138652118,-117.700900469
721,3.37634713176e-06,1.62602081523e-06,-9.18452412198e-08,1.54413535345e-09,-166.254896129,-167.087858252
687,-7.98405380507e-06,1.74552968315e-05,-8.88444432943e-07,1.40328760023e-08,-1306.91319614,-1298.53581789
691,2.59421708945e-06,9.97795961346e-06,-2.16015187421e-07,1.51945773305e-09,-1237.53802357,-1229.16064532
695,-0.000168023170245,0.000130223044225,-6.02940390155e-06,1.13381024257e-07,-94.4335419391,-95.9957902893
