ID,a,h,AIC,BIC
40028,0.0,93.2215285697,-65.2322250634,-65.3404047653
40029,7.2541939389e-05,199.247151093,-137.985869189,-137.380699003
40030,8.12608400076e-05,80.1715357777,-79.011981249,-79.4284623105
40031,6.54055602727e-05,1126.95046906,-182.042753208,-181.437583022
40032,0.0,2666.19829794,-109.235610655,-109.343790357
40038,0.426924578202,1.26501037147,-165.738349479,-162.745334356
40039,0.379659996469,1.66615598481,-180.1923052,-177.139584151
40042,0.000105672496545,238.258348299,-1167.27410209,-1162.31942846
40043,4.04442054085e-05,302.071472188,-1250.57317791,-1245.61850428
40045,0.000450018714655,34.5492663233,-296.793996477,-294.202322745
40046,0.000875204022132,41.2307612447,-240.474817265,-238.203828833
40047,1.05694717423e-05,593.63687619,-1378.64925506,-1374.06833618
40048,1.3266845087e-05,139.245910351,-1213.20311526,-1208.6777555
40049,1.3229347831e-05,286.232509423,-865.241961936,-861.499559914
40061,3.64301747742e-05,2402.01682721,-155.851461908,-155.692578825
40062,1.21591751425e-05,1634.84923357,-160.98791253,-160.829029447
40068,0.038358219033,43.728766715,-59.1141055556,-59.5305866171
40069,0.221121584212,32.3396803217,-52.4528753255,-52.869356387
40070,0.0,6.90773184879,-31.3746077677,-31.7910888292
40071,0.166049127011,13.6423508223,-46.3421787396,-46.7586598012
40072,0.0284814535324,9.24131500743,-45.7423793315,-46.158860393
40073,0.0217396162743,10.9805416592,-44.2522884535,-44.668769515
40074,0.0271906331431,13.3473304303,-47.1025488958,-47.5190299574
40075,0.0141606548424,26.8528359434,-55.2573218404,-55.6738029019
40076,0.0117714740567,11.0045132434,-47.039690631,-47.4561716925
40077,0.000861421099898,1449.51827168,-91.270430237,-91.6869112986
40078,0.0,230.83312092,-68.7844595986,-69.2009406602
40079,0.00427477301272,220.557111191,-74.5977508804,-75.0142319419
40080,0.00053599891114,101.83143937,-70.7976305765,-71.214111638
40081,0.000365094069961,40.5646754765,-77.5281822719,-77.9446633334
40082,0.000391843766025,27.6793143194,-65.4043095932,-65.8207906548
40083,0.00033313714952,23.247085017,-59.6812480975,-60.097729159
40084,0.000291079804134,20.5622959195,-60.7262262748,-61.1427073363
40085,0.000323143914601,29.6061585302,-63.2302790805,-63.646760142
40086,0.000290778306322,18.1157705237,-69.4796956293,-69.8961766908
40087,0.000144872001146,20.1973170924,-69.19170043,-69.6081814915
40088,9.62620725382e-05,380.129355005,-96.7895208146,-97.2060018762
40089,3.16013109538e-05,1.21070699244e-07,-89.0382951479,-89.4547762094
40090,4.5236981858e-05,97.6692009834,-90.7042573546,-91.1207384162
40091,0.000893468384394,617.604339319,-87.7089692638,-88.1254503254
40092,6.93500321305e-05,341.941787347,-90.5200090701,-90.9364901316
40093,9.02877653546e-05,318.29278429,-94.0149769805,-94.431458042
40094,4.8131821047e-05,9.3645693422e-09,-88.5283843664,-88.9448654279
40095,5.95674832313e-05,157.09987622,-86.5062505839,-86.9227316455
40096,6.94441083173e-05,229.278717547,-97.0246099129,-97.4410909744
40097,2.4335440882e-05,135.815684652,-102.722422698,-103.138903759
40102,4.59655676277e-06,0.39564670308,-241.969328276,-236.739087243
40111,8.35389206704e-05,281.687795889,-92.5638383087,-92.9803193702
40112,0.0685528327658,0.959759489207,-17.9319279015,-18.7130520766
71,1.37510276914e-05,1475.00562368,-110.635975946,-111.052457008
3,1.21496128807e-05,3036.412182,-91.6472047647,-92.8746160424
2,5.23049777601e-06,2894.6114723,-83.336660304,-84.5640715818
140,0.00228166852769,3.32544294705,-51.1152364426,-51.5317175041
79,1.87297475607e-05,2028.05068175,-205.263453817,-204.658283631
713,3.37162705855e-05,5861.80543373,-626.508286481,-623.640312072
920,0.025275363514,1.01327615016,-30.9702367917,-31.3867178532
6,7.93353239215e-06,2534.09711975,-620.823827685,-617.89235588
40115,0.0258503558571,5.10866646736,-38.7958349588,-39.2123160204
40116,0.0562171252972,2.26307973284,-31.5973450788,-32.0138261404
40117,0.0354361661562,1.33651197413,-32.1194408688,-32.5359219303
40118,0.0186040235434,5.65647563187,-44.9827753145,-45.3992563761
40119,0.0285395867043,1.85682296107,-40.9703019477,-41.3867830092
40120,0.0262654198111,1.26288117368,-34.6679171456,-35.0843982072
40125,6.02163834795e-07,76945.9532144,-494.287119742,-492.198074867
40126,2.13992362941e-07,22219.2583378,-461.438691634,-459.349646758
40127,2.94363351072e-06,25379.1352859,-353.603477513,-352.058300068
40130,0.0623184697064,0.520931539282,-41.8136945204,-42.5948186955
