ID,x^3,x^2,x,c,AIC,BIC
39896,0.000184825740013,3.22240080233e-06,2.29642258637e-06,-3.36018902909e-08,-142.899988588,-142.582222421
39897,2.87882677211e-05,7.73853650061e-05,-3.925352181e-06,6.50417265833e-08,-143.807533124,-143.489766958
39898,-3.94616864883e-05,0.000171427392229,-3.86123143232e-06,2.2720609485e-08,-165.655089561,-165.337323395
39899,-3.63069055928e-05,0.00015544904819,-3.06706400652e-06,-1.85113064418e-08,-151.572061538,-151.254295372
39900,-3.34025238082e-05,0.000137753798136,-6.26544969617e-06,1.02211861811e-07,-156.546298386,-156.228532219
39901,-0.000122237974348,0.000185654806111,-2.7193753622e-06,-9.97107940912e-08,-146.149403692,-145.831637525
39902,-7.72559718047e-06,8.18813847468e-05,-4.24824150826e-06,6.99441228813e-08,-134.226528556,-133.90876239
39903,3.80553058368e-05,5.76611019853e-05,-4.3129811969e-06,9.01202701805e-08,-131.395625978,-131.077859811
39904,-0.000103915923431,0.000150298892931,-2.8793832122e-06,8.83660990476e-09,-148.100271961,-147.782505794
39905,3.05194680169e-05,0.000100633327705,-2.38696489572e-06,4.73708721093e-08,-141.791401821,-141.473635654
39906,1.29712802629e-06,9.46011474523e-05,-4.61969927147e-06,8.25304021996e-08,-150.426267406,-150.108501239
39910,-187.064067629,0.0010364064414,-2.93065669575e-11,3.05149104408e-19,648.366999584,655.1225174
39911,-1061.46177226,0.000937524401721,-2.7660528806e-11,2.31351106876e-19,657.141588232,664.092266705
39912,-0.000238734146971,0.000552729271649,1.20426679213e-06,-7.53276313231e-08,-150.664465448,-150.346699282
39914,4.05774101704,1.21447975263e-05,-9.97853975678e-12,1.20264638236e-18,16.5160200491,18.1076011402
39919,0.000164682958684,0.000232113979926,9.80046411444e-07,-1.74554258196e-08,-94.1167484379,-95.6789967882
39920,-0.000114278254777,0.000320357642241,-3.65096808049e-06,4.41116023822e-08,-84.6523649215,-86.2146132717
39921,-0.000608587751411,0.000398678753222,-6.36613477066e-06,2.30176342165e-08,-78.1922533497,-79.7545016999
39922,0.000332421029318,0.000196599062091,-2.75037099896e-06,9.58285209822e-09,-75.6740722361,-77.2363205863
