ID,a,h,q,AIC,BIC
39954,2.56767394113e-06,2766.27124546,0.250373341579,-135.768662238,-136.393383831
39955,8.09952072223e-06,1296.78816586,0.171311781961,-143.204509445,-143.366778998
39956,4.81500071925e-07,2592.42600206,0.99999999819,-138.237109022,-138.399378575
39957,1.83397126363e-06,1793.47203387,0.527119594591,-138.085693084,-138.247962637
39958,2.68207327647e-06,1513.50973662,0.550165710733,-142.696761398,-142.859030951
39959,5.49579644205e-06,317.739924927,0.0577982964518,-138.558058299,-138.720327851
39960,2.12790623577e-06,11494.7492239,0.859341388707,-139.099885361,-139.724606953
39961,3.83105250079e-07,52257.4467149,1.0,-155.973426015,-156.598147607
39962,2.65007615806e-05,63.0186259571,0.0313974415467,-84.5671083931,-85.1918299854
39963,5.45233102278e-06,126.353720162,0.923989158879,-134.954631989,-134.04687671
39964,2.26767193828e-05,58.1455031868,0.0966914930317,-55.7432190801,-56.9149053428
39965,1e-12,3.43906417451,0.999999971012,-23.4736631022,-22.8819893702
39966,0.000567971193971,3.33802834725,0.956512397,-57.5982909579,-56.6905356789
39967,0.00355383476467,6.77065109496,6.95538071582e-12,-32.2957878387,-34.1369047553
39968,0.00307301756331,0.971243700417,6.27984275692e-10,-18.1359241933,-19.307610456
39969,0.0109996478655,1.45230853414,0.334414395603,-30.7294259794,-31.9011122421
39970,0.00206610475541,1.49617474757,9.10297615064e-10,-25.6082346637,-26.7799209264
39971,0.00033280925769,0.731822032481,0.891102360252,-14.2097225947,-15.3814088574
39972,0.115377469787,0.555893526763,5.08092878881e-09,-31.9436033466,-30.0264313578
39973,3238.26924126,0.018862106366,0.999999999928,20.4809273353,19.856205743
39974,3.09660114769,0.00116444162033,3.47261914974e-06,79.3845853586,78.7598637663
39975,140.358207985,0.00171632422219,0.000232693812812,74.8602909862,74.2355693938
39976,2.8896253168e-09,0.000389708883852,0.849880674326,87.354222577,87.1919530241
39977,0.0109435168367,1.69807259609,0.393932786304,-60.2916893202,-60.453958873
39978,0.015099809379,1.42439003347,0.999999993483,-35.7307416421,-35.893011195
39979,0.0183388658963,3.32401092394,0.393947721729,-46.7210435368,-47.3457651292
39980,0.0151955585567,1.45025650114,0.999999995054,-30.6168475797,-31.241569172
