ID,a,h,AIC,BIC
39987,5.26335585604e-06,58.4878244248,-195.028700961,-193.247957445
39988,6.06308595508e-06,9.79520223386,-154.659122428,-152.570077553
39989,4.74066991729e-06,9560.19804406,-185.788906717,-185.630023633
39990,4.31927552502e-06,14667.0182487,-182.716397036,-182.557513953
39991,1.64983455502e-05,23029.9334397,-204.277399358,-204.118516274
39992,0.592322044063,0.144997122739,-14.3774038612,-13.9829547066
39993,1.88989919581e-05,2695.04959751,-131.417927822,-131.834408884
39994,7.10396396153e-07,12092.8118401,-181.712020488,-181.553137404
39995,7.200920078e-07,4654.47039833,-173.131207529,-172.972324445
39996,1.10244202522e-06,3934.60719108,-172.760312037,-172.601428954
39997,2.76471503913e-06,2997.025005,-158.122295986,-157.963412903
39998,0.00476587070377,1.91720941948,-51.6622463424,-51.5033632591
39999,0.00607578478812,1.56233640938,-39.0372988644,-38.878415781
40000,0.00662585816635,0.619011580619,-27.4723455549,-27.3134624716
40001,0.00715824833399,0.790943590224,-25.4981883178,-25.3393052344
40002,1.19978734525e-06,1687.86126923,-145.848949824,-145.957129525
40003,4.95101750175e-06,2304.33415778,-141.594799381,-141.702979083
40004,0.000389069516049,223.085566482,-176.708301906,-175.738488606
40005,0.0023314576058,254.042790782,-164.390977001,-163.421163701
40006,0.000870227381422,251.708577498,-185.009743977,-184.039930677
40007,0.00239490811354,200.341790983,-170.114159631,-169.144346332
40008,0.00124367455026,141.723863429,-114.239042158,-114.080159075
40009,0.00150389177025,150.443484393,-164.78172025,-163.81190695
40010,0.0712607837165,1.48311585235e-10,46.7997435264,46.3832624648
40011,1.25985346313e-05,2.96656033072e-11,-110.275853842,-111.056978017
40012,5.99099037157e-06,3.77123807294e-07,-92.5985671557,-93.8259784335
40013,113.662275863,2.01454370956,-55.5244093647,-55.3655262813
40014,39.3482049411,1.76707868273,-40.1092990956,-40.2174787974
40015,7.94333198802,5.65785299562,-31.2923055189,-32.5197167967
40016,4.07075014564,3.70250888163,-31.9559299203,-33.1833411981
40017,5.00786414019e-05,502.999779231,-476.967450353,-474.303041333
40018,5.34848808045e-05,459.589640847,-523.425682495,-520.557708086
40019,0.0,1204.35512991,-381.233089677,-378.716896601
40020,0.0,1397.91352788,-401.099725862,-398.50805213
