ID,a,h,q,AIC,BIC
39890,0.0,1599.45490577,0.829853845529,-88.7753696203,-89.4000912127
39891,0.000136573065749,1107.57840922,0.0392901407087,-106.891949769,-107.516671361
39892,4.82119144607e-09,449.779953187,1.8914318405,-332.461967853,-329.628650916
39893,5.45189049461e-09,1377.23569471,2.22938351874,-339.581895989,-336.910780715
39894,0.000113957421015,796.401609136,0.173978035016,-131.5227244,-131.684993953
39895,0.000166535752139,145.07224085,-0.0302213302452,-142.284770045,-142.04644542
39896,5.92178186372e-05,6.7489392741e-06,-0.0955955992646,-140.380481466,-140.142156841
39897,0.000102158933978,1575.13324604,0.19199311028,-144.679247274,-144.440922649
39898,0.00012462882274,311.692641378,0.258164834526,-166.61575707,-166.377432445
39899,7.94385478398e-05,494.787091165,0.591270765906,-149.534470439,-149.296145814
39900,9.84485493767e-05,787.014871694,0.361406950456,-157.274745653,-157.036421028
39901,2.41980842752e-05,591.412514908,1.53470437277,-136.25480276,-136.016478135
39902,5.23949994502e-09,2148.68547728,11.5582430648,-142.083368051,-141.845043426
39903,2.81547163361e-09,3904.48089736,12.3695310295,-135.780772243,-135.542447618
39904,5.67746337043e-05,385.876144854,0.555635279694,-153.386973345,-153.14864872
39905,0.000129821461753,1.73170877638e-09,-0.188310725699,-144.121665557,-143.883340932
39906,9.11647188742e-05,1144.22529662,0.249558283952,-153.585914456,-153.347589831
39907,NA,NA,NA,NA,NA
39908,9.13623248766e-06,5722.30310755,0.38599971121,-180.610831883,-180.372507258
39909,1.22840494812e-05,1285.26892364,-0.00407480107043,-168.252569267,-168.014244641
39910,196.270427345,9.01358307677e-05,-1128.40330303,713.917831386,718.984469748
39911,4.45869319243e-09,0.000111261805446,0.795993339475,655.886421054,661.099429909
39912,0.000239470516976,36.5482954854,0.469122199896,-116.95743189,-116.719107265
39913,6.56401399901e-09,1405.52382832,0.0502013192689,-81.6512329122,-83.4923498289
39914,NA,NA,NA,NA,NA
39915,0.000357393655603,20.5995329476,0.644680419409,-112.852518533,-111.397798583
39916,NA,NA,NA,NA,NA
39917,9.2132317673e-05,264.411732056,0.22936791078,-97.8183852731,-98.9900715358
39918,NA,NA,NA,NA,NA
39919,0.000267549299184,6.73659960518,-0.00508779389871,-92.2534291291,-93.4251153918
39920,0.000303653203847,4.75344830164e-09,-0.0551163933514,-83.4855059361,-84.6571921988
39921,4.16129070713e-05,145.500546195,1.04430161422,-76.2880880558,-77.4597743185
39922,0.000267117738054,171.127202735,0.106953094658,-77.6007769016,-78.7724631643
39923,0.000141482755828,364.202968677,0.679441350465,-108.295668283,-109.467354546
39924,2.25179939544e-05,67440.4646262,0.455758068277,-176.805647023,-177.430368616
39925,176.813477486,1.15640713983,-1708.23104625,-30.3493770549,-25.5988202395
39926,3.5221153569e-05,2501.94659763,-0.433082297511,-126.409033626,-127.580719888
39927,1.20546344351e-06,21091.5656588,1.75379507577,-124.761239537,-125.9329258
39928,5.31843520677e-05,0.0012160653909,-0.735684328118,-120.448161991,-121.619848254
39929,1.95760157125e-05,0.00145598515061,-0.470817930581,-116.762813251,-117.934499514
39931,2.01543497564e-05,2525.53940624,-0.2814696882,-135.097485852,-135.722207444
39932,0.0,1.35783458211,-1.04986797208,-41.5387966079,-37.0492739235
39933,0.011621378075,844.332937639,1.06694939741,-301.761667647,-299.262027615
39934,55.0433882858,0.000886933880899,0.388820348776,176.939087102,179.610202376
39935,6.34555623247e-06,7258.17042868,0.548478066928,-165.887801427,-166.05007098
39936,5.10196973558e-09,3372.12669083,2.80894765792,-114.552930264,-115.177651856
39937,1.23596217172e-06,236674.145673,0.172761199476,-164.507251341,-165.678937604
39938,8.02991713345e-07,294203.030346,0.0809450597291,-182.419288334,-183.590974597
39939,4.3838164921,191.446373849,-1253.41862665,-360.517503229,-356.120295521
39940,0.00302974123267,2866.61210946,-37.0219354323,-1328.7722523,-1321.6261724
39941,0.00304235853382,2.89894139804e-08,-0.521271812906,-107.161128906,-106.569455174
39942,0.00713853670401,13.4920459867,-0.168674862994,-184.897262769,-181.624135409
39943,0.0228215129464,0.627413999152,-0.454999622068,-94.2068056744,-92.752085725
39944,0.0263256306817,1.83366467447,0.295478739506,-138.076239957,-134.542078466
39945,4.08552924824e-09,13672.5885889,3.1967007549,-114.844360506,-116.016046769
39946,2.08689806058e-06,3553.20656158,0.776544656353,-108.386421863,-109.558108125
39947,2.01126597599e-08,15021.8677995,0.235523391384,-259.292887734,-258.099201916
39948,0.0345219949327,4.70774658263,-39.778667182,-20.1640031907,-21.3356894534
39949,91.901669633,4.28736485656,1.29223301477,-42.3682185542,-43.5399048169
39950,8.58524199663e+13,6.0840535629,14.379947644,-27.2841026487,-28.4557889114
39951,9.80332349609e-06,3079.6882776,0.560838968926,-128.132295326,-128.757016918
39952,0.0,3414.48424216,-0.881822338623,-102.283727866,-102.908449458
39953,1.48284252686e-05,6936.4129194,0.220992690429,-112.539648786,-113.711335049
39954,2.56765545203e-06,2766.27960734,0.250375929613,-135.768662239,-136.393383831
39955,8.09923624168e-06,1296.81282862,0.171326085661,-143.204509444,-143.366778997
39956,2.39810737712e-07,2706.87524415,1.22387265176,-138.29422705,-138.456496603
39957,1.83396284359e-06,1793.47396249,0.527121175089,-138.085693084,-138.247962637
39958,2.68224657085e-06,1513.48512159,0.550141228008,-142.696761383,-142.859030936
