ID,x^2,x,c,AIC,BIC
39871,0.000534814344584,5.34911510596e-05,-1.27661072642e-07,-83.8796954564,-84.5044170487
39873,0.000103967501889,9.11427024491e-06,-3.25768704464e-08,-113.816749038,-114.44147063
39874,0.00021860945063,2.6505427725e-05,-1.0091083764e-07,-104.503270192,-105.127991784
39875,0.00123078874887,1.86501447617e-05,-3.65910255816e-08,-88.6803452436,-89.305066836
39876,0.000119708024433,8.33879699346e-05,-3.3220849935e-07,-86.9357007638,-87.5604223561
39877,4.74387562972e-05,9.06005080296e-05,-3.47122556506e-07,-91.5095575779,-92.1342791703
39878,4.01961515113e-05,7.67276466367e-06,-2.66070044216e-08,-118.672767756,-119.297489348
39879,0.000258951218136,1.53268792974e-05,-5.71937197259e-08,-107.813650868,-108.43837246
39880,0.000535392438287,3.32705156374e-05,-1.16841739254e-07,-95.0331373588,-95.6578589511
39881,0.000833521923426,3.66431829187e-05,-1.11078973105e-07,-98.5813198124,-99.2060414048
39882,0.00031121583728,5.70476589979e-05,-1.92623368923e-07,-94.7412196714,-95.3659412637
39883,-5.730044e-05,8.3068525e-05,-2.4051875e-06,-1019.58986606,-1013.85379704
39884,2.86945752955e-05,1.06059077424e-05,-3.95987520463e-07,-118.248001762,-119.419688025
39885,4.07288571146e-05,1.62931775692e-05,-9.37362944664e-07,-123.232063164,-123.856784756
39886,2.08204993005e-05,1.61918809857e-05,-9.79699774023e-07,-125.101754635,-126.273440898
39887,1.36080444444e-05,7.10325555556e-06,-6.56388888889e-08,-111.593029729,-112.764715991
39888,-2.4389e-05,1.75005980645e-05,-2.38723225806e-07,-75.3033666012,-77.1444835178
39889,-5.44896666667e-05,2.16790974194e-05,-6.78643010753e-08,-78.4378151119,-80.2789320286
39890,0.000158414855357,-6.6223452381e-07,1.26983134921e-07,-111.338467205,-111.963188798
39891,0.000295992280804,2.06374324405e-05,-1.93691220238e-07,-104.087074593,-104.711796185
39892,-0.000279182766312,1.84346030723e-05,-3.19672796365e-08,-334.382061367,-331.548744429
39893,-0.000202152831237,1.82124118766e-05,-8.97003823178e-08,-338.011915256,-335.340799983
39894,0.000241097554038,4.16624130809e-05,-4.74118960385e-07,-122.745203667,-122.90747322
39895,3.62216092715e-05,0.000138465342604,-1.70125848052e-06,-141.264100858,-141.025776232
39896,0.000162379911541,1.58477495849e-05,1.01886208877e-06,-144.779153244,-144.540828619
39897,7.22356876658e-05,5.29470231025e-05,-1.45243354877e-06,-145.312210366,-145.073885741
39898,-2.42844777401e-05,0.000162890502881,-2.99738261584e-06,-166.751177594,-166.512852969
39899,-4.86723292515e-05,0.000162404362258,-3.77087303823e-06,-153.463555144,-153.225230519
39900,3.48742873513e-05,9.93493990412e-05,-2.37930412802e-06,-153.954478382,-153.716153757
39901,-0.000188844089706,0.000223119470804,-6.51042909794e-06,-146.683090249,-146.444765624
39902,3.89965893162e-05,5.56010493543e-05,-1.5889313427e-06,-136.050087142,-135.811762517
39903,9.82550180792e-05,2.37999163925e-05,-8.86563926353e-07,-133.190378715,-132.95205409
39904,-9.80131296154e-05,0.000146978684421,-2.5434109306e-06,-150.084158409,-149.845833784
39905,6.21628803584e-05,8.28345140863e-05,-5.85900895453e-07,-143.583463129,-143.345138504
39906,5.64268613672e-05,6.35917279252e-05,-1.4818525376e-06,-150.736302958,-150.497978333
39907,0.004446464875,0.000296492884196,-1.7535386486e-07,-248.443398141,-245.170270781
39908,4.81938592327e-05,3.51007049661e-06,-2.06442986064e-08,-167.873176939,-167.634852314
39909,2.30683722395e-05,8.13023372005e-06,-3.41679323615e-08,-164.498080182,-164.259755557
