ID,x^3,x^2,x,c,AIC,BIC
39876,-0.000504519000353,0.000129672169619,-1.01774768208e-06,2.66684453843e-09,-86.6740348144,-87.5069969375
39877,-0.00050517103285,0.000131574546021,-9.54010192219e-07,2.36087887828e-09,-92.8036318387,-93.6365939618
39878,3.39780189888e-05,8.13381693458e-06,-3.34358876938e-08,2.65653233496e-11,-116.702529315,-117.535491438
39879,0.000143156391619,2.39126512364e-05,-1.84362021614e-07,4.94702709773e-10,-107.791776912,-108.624739035
39880,0.000272537382175,5.276027725e-05,-4.05514663028e-07,1.12297856862e-09,-94.1653563557,-94.9983184788
39881,0.000546613134431,5.79164427325e-05,-4.26168209738e-07,1.22574176794e-09,-99.3545576578,-100.187519781
39882,-6.00375139746e-05,8.45747662212e-05,-6.00341569031e-07,1.58608155823e-09,-95.1151165326,-95.9480786557
39883,-5.46903375e-06,5.51523114583e-05,1.0047734375e-06,-1.13665364583e-07,-1024.17272429,-1016.52463227
39884,1.77808449495e-05,1.84184013061e-05,-1.4805745072e-06,3.61589575876e-08,-140.117863089,-141.680111439
39885,-1.89358722699e-05,6.70462482032e-05,-1.08049866238e-05,5.08932209664e-07,-126.077650962,-126.910613086
39886,1.43764127238e-05,2.20040116531e-05,-2.12503147126e-06,5.93331575255e-08,-136.861927999,-138.424176349
39887,1.17372641975e-05,7.94859259259e-06,-1.41893518519e-07,1.81558641975e-09,-109.629411489,-111.19165984
39888,0.000266685142857,-5.28997e-05,3.92395e-06,-6.46831428571e-08,-343.176503439,-345.631325995
39889,0.00014222847619,-2.58999e-05,2.74541666667e-06,-4.37151428571e-08,-340.973470103,-343.428292658
39890,0.000192576980531,-7.929347236e-06,4.10251171186e-07,-2.86129329561e-09,-109.853128845,-110.686090968
39891,0.000107202181672,6.07976661017e-05,-1.7591149278e-06,1.58123606824e-08,-110.397037486,-111.229999609
39892,-3.55119782116e-05,9.23736729571e-06,3.79582674252e-08,-1.26079667297e-10,-340.588162959,-336.810407043
39893,-0.00029315343714,2.51728014905e-05,-2.14416659861e-07,6.15882852066e-10,-337.170766747,-333.609279715
39894,6.1861173917e-05,9.03809051568e-05,-2.88021778034e-06,3.06892893553e-08,-128.031967109,-128.248326513
